Name,Mean,Range,Sd,Sum,Area_m2,Area_km2,Sum_PerArea
04Harbour_SealsEgentligaOstersjon,0,00,0,40,0,02,2285,8,45799875000,0,45799,9,0,04991
04Harbour_SealsGavleborgs,0,00,0,00,0,00,0,0,5403687500,0,5403,7,0
04Harbour_SealsGotland,0,00,0,00,0,00,0,0,12143187500,0,12143,2,0
04Harbour_SealsHalland,0,57,1,00,0,27,27852,2,3040562500,0,3040,6,9,16022
04Harbour_SealsKalmar,0,14,0,86,0,25,20585,5,8902187500,0,8902,2,2,31241
04Harbour_SealsNorrbotten,0,00,0,00,0,00,0,0,6936375000,0,6936,4,0
04Harbour_SealsOstergotland,0,00,0,00,0,00,0,0,2360500000,0,2360,5,0
04Harbour_SealsSkaneNorr,0,45,0,71,0,25,12562,8,1736000000,0,1736,0,7,23665
04Harbour_SealsSkaneSoder,0,09,0,43,0,16,6037,3,3981125000,0,3981,1,1,51649
04Harbour_SealsStockholm,0,00,0,00,0,00,0,0,9450250000,0,9450,3,0
04Harbour_SealsSodermanland,0,00,0,00,0,00,0,0,1682312500,0,1682,3,0
04Harbour_SealsUppsala,0,00,0,00,0,00,0,0,3352500000,0,3352,5,0
04Harbour_SealsVasterbottens,0,00,0,00,0,00,0,0,7917187500,0,7917,2,0
04Harbour_SealsVasterHavet,0,23,0,78,0,22,13791,7,3796750000,0,3796,8,3,63249
04Harbour_SealsVasternorrlands,0,00,0,00,0,00,0,0,5067437500,0,5067,4,0
04Harbour_SealsVastragotland,0,75,0,97,0,11,66554,9,5579312500,0,5579,3,11,92887
05Blue_Mussel_HabitatBlekinge,0,07,1,00,0,26,4370,0,3902687500,0,3902,7,1,11974
05Blue_Mussel_HabitatBottniskaViken,0,00,1,00,0,02,88,0,22981437500,0,22981,4,0,00383
05Blue_Mussel_HabitatEgentligaOstersjon,0,00,1,00,0,00,9,0,45799875000,0,45799,9,0,0002
05Blue_Mussel_HabitatGavleborgs,0,02,1,00,0,13,1426,0,5403687500,0,5403,7,0,26389
05Blue_Mussel_HabitatGotland,0,00,1,00,0,04,302,0,12143187500,0,12143,2,0,02487
05Blue_Mussel_HabitatHalland,0,02,1,00,0,14,998,0,3040562500,0,3040,6,0,32823
05Blue_Mussel_HabitatKalmar,0,01,1,00,0,07,725,0,8902187500,0,8902,2,0,08144
05Blue_Mussel_HabitatNorrbotten,0,00,1,00,0,06,394,0,6936375000,0,6936,4,0,0568
05Blue_Mussel_HabitatOstergotland,0,03,1,00,0,18,1208,0,2360500000,0,2360,5,0,51176
05Blue_Mussel_HabitatSkaneNorr,0,07,1,00,0,25,1828,0,1736000000,0,1736,0,1,053
05Blue_Mussel_HabitatSkaneSoder,0,03,1,00,0,18,2050,0,3981125000,0,3981,1,0,51493
05Blue_Mussel_HabitatStockholm,0,01,1,00,0,10,1560,0,9450250000,0,9450,3,0,16507
05Blue_Mussel_HabitatSodermanland,0,04,1,00,0,19,1035,0,1682312500,0,1682,3,0,61522
05Blue_Mussel_HabitatUppsala,0,01,1,00,0,09,464,0,3352500000,0,3352,5,0,1384
05Blue_Mussel_HabitatVasterbottens,0,00,1,00,0,06,500,0,7917187500,0,7917,2,0,06315
05Blue_Mussel_HabitatVasterHavet,0,00,1,00,0,01,12,0,3796750000,0,3796,8,0,00316
05Blue_Mussel_HabitatVasternorrlands,0,03,1,00,0,16,2090,0,5067437500,0,5067,4,0,41244
05Blue_Mussel_HabitatVastragotland,0,01,1,00,0,11,1142,0,5579312500,0,5579,3,0,20468
20AngiospermsBlekinge,0,02,1,00,0,10,1132,7,3902687500,0,3902,7,0,29023
20AngiospermsBottniskaViken,0,00,0,00,0,00,0,0,22981437500,0,22981,4,0
20AngiospermsEgentligaOstersjon,0,00,0,00,0,00,0,0,45799875000,0,45799,9,0
20AngiospermsGavleborgs,0,01,1,00,0,07,919,8,5403687500,0,5403,7,0,17022
20AngiospermsGotland,0,01,1,00,0,07,1641,7,12143187500,0,12143,2,0,1352
20AngiospermsHalland,0,01,1,00,0,06,336,8,3040562500,0,3040,6,0,11078
20AngiospermsKalmar,0,02,1,00,0,09,2441,0,8902187500,0,8902,2,0,27421
20AngiospermsNorrbotten,0,04,1,00,0,15,4129,3,6936375000,0,6936,4,0,59532
20AngiospermsOstergotland,0,02,1,00,0,09,841,3,2360500000,0,2360,5,0,35642
20AngiospermsSkaneNorr,0,03,1,00,0,15,911,8,1736000000,0,1736,0,0,52525
20AngiospermsSkaneSoder,0,02,1,00,0,13,1541,2,3981125000,0,3981,1,0,38713
20AngiospermsStockholm,0,02,1,00,0,07,2341,8,9450250000,0,9450,3,0,24781
20AngiospermsSodermanland,0,02,1,00,0,10,600,2,1682312500,0,1682,3,0,35676
20AngiospermsUppsala,0,01,1,00,0,08,759,1,3352500000,0,3352,5,0,22644
20AngiospermsVasterbottens,0,02,1,00,0,10,2409,3,7917187500,0,7917,2,0,30431
20AngiospermsVasterHavet,0,00,0,00,0,00,0,0,3796750000,0,3796,8,0
20AngiospermsVasternorrlands,0,00,1,00,0,04,349,5,5067437500,0,5067,4,0,06896
20AngiospermsVastragotland,0,01,1,00,0,06,739,1,5579312500,0,5579,3,0,13247
25Rivermouth_FishBlekinge,0,00,0,71,0,02,83,9,3902687500,0,3902,7,0,02151
25Rivermouth_FishBottniskaViken,0,00,0,00,0,00,0,0,22981437500,0,22981,4,0
25Rivermouth_FishEgentligaOstersjon,0,00,0,00,0,00,0,0,45799875000,0,45799,9,0
25Rivermouth_FishGavleborgs,0,00,0,69,0,02,131,4,5403687500,0,5403,7,0,02432
25Rivermouth_FishGotland,0,00,0,47,0,01,25,8,12143187500,0,12143,2,0,00212
25Rivermouth_FishHalland,0,01,1,00,0,05,292,2,3040562500,0,3040,6,0,09609
25Rivermouth_FishKalmar,0,00,0,71,0,01,87,4,8902187500,0,8902,2,0,00982
25Rivermouth_FishNorrbotten,0,00,0,48,0,01,46,4,6936375000,0,6936,4,0,00669
25Rivermouth_FishOstergotland,0,00,0,48,0,01,28,2,2360500000,0,2360,5,0,01193
25Rivermouth_FishSkaneNorr,0,01,0,94,0,06,214,1,1736000000,0,1736,0,0,12334
25Rivermouth_FishSkaneSoder,0,00,0,71,0,02,66,9,3981125000,0,3981,1,0,0168
25Rivermouth_FishStockholm,0,00,0,48,0,01,38,6,9450250000,0,9450,3,0,00409
25Rivermouth_FishSodermanland,0,00,0,69,0,02,17,7,1682312500,0,1682,3,0,01053
25Rivermouth_FishUppsala,0,00,0,47,0,01,31,1,3352500000,0,3352,5,0,00928
25Rivermouth_FishVasterbottens,0,00,0,71,0,02,160,9,7917187500,0,7917,2,0,02032
25Rivermouth_FishVasterHavet,0,00,0,00,0,00,0,0,3796750000,0,3796,8,0
25Rivermouth_FishVasternorrlands,0,00,0,77,0,02,131,1,5067437500,0,5067,4,0,02587
