Name,Mean,Range,Sd,Sum
05Blue_Mussel_HabitatNORRBOTTENSHavNollBf,0.003550125,1,0.059477338,394
05Blue_Mussel_HabitatOstergotlandsHavNollBf,0.031984749,1,0.17596177,1208
05Blue_Mussel_HabitatSkaneNorrNollBf,0.065812212,1,0.247958017,1828
05Blue_Mussel_HabitatSkaneSoder,0.032183114,1,0.176487536,2050
05Blue_Mussel_HabitatSTOCKHOLMSHavNollBf,0.010317187,1,0.101048555,1560
05Blue_Mussel_HabitatSODERMANLANDSHavNollBf,0.038451536,1,0.192287257,1035
05Blue_Mussel_HabitatUppsalaHavNollBf,0.008650261,1,0.092604502,464
05Blue_Mussel_HabitatVasterbottensHavNollBf,0.003947109,1,0.062702154,500
05Blue_Mussel_HabitatVasterHavetNollBf,0.000197537,1,0.014053526,12
05Blue_Mussel_HabitatVasternorrlandsHavNollBf,0.025777328,1,0.158471346,2090
05Blue_Mussel_HabitatVastragotlandHavNollBf,0.012792795,1,0.112380072,1142
20AngiospermsBLEKINGEHavNollBf,0.018139103,1,0.09987558,1132.659999
20AngiospermsBottniskaVikenHavNollBf,0,0,0,0
20AngiospermsEgentligaOstersjonHavNollBf,0,0,0,0
20AngiospermsGavleborgsHavNollBf,0.010639031,1,0.066116012,919.8399991
20AngiospermsGOTLANDSHavNollBf,0.008449697,1,0.074861126,1641.700001
20AngiospermsHALLANDSHavNollBf,0.006923678,1,0.061803494,336.8299995
20AngiospermsKALMARHavNollBf,0.017137993,1,0.088141272,2441.049998
20AngiospermsNORRBOTTENSHavNollBf,0.037207295,1,0.149178412,4129.339997
20AngiospermsOstergotlandsHavNollBf,0.022276266,1,0.092649976,841.3299995
20AngiospermsSkaneNorrNollBf,0.032827981,1,0.146912364,911.8300001
20AngiospermsSkaneSoder,0.024195422,1,0.132474663,1541.200002
20AngiospermsSTOCKHOLMSHavNollBf,0.015487884,1,0.067796279,2341.829995
20AngiospermsSODERMANLANDSHavNollBf,0.022297804,1,0.09659106,600.1899988
20AngiospermsUppsalaHavNollBf,0.014152498,1,0.082913208,759.1399995
20AngiospermsVasterbottensHavNollBf,0.019019617,1,0.102643015,2409.31
20AngiospermsVasterHavetNollBf,0,0,0,0
20AngiospermsVasternorrlandsHavNollBf,0.004310241,1,0.035379419,349.4699995
20AngiospermsVastragotlandHavNollBf,0.008279134,1,0.05817271,739.069998
25Rivermouth_FishBLEKINGEHavNollBf,0.001344106,0.709999979,0.021883497,83.9299997
25Rivermouth_FishBottniskaVikenHavNollBf,0,0,0,0
25Rivermouth_FishEgentligaOstersjonHavNollBf,0,0,0,0
25Rivermouth_FishGavleborgsHavNollBf,0.001519796,0.689999998,0.020726387,131.3999999
25Rivermouth_FishGOTLANDSHavNollBf,0.000132739,0.469999999,0.005102519,25.79000001
25Rivermouth_FishHALLANDSHavNollBf,0.006005673,1,0.054944812,292.1699998
25Rivermouth_FishKALMARHavNollBf,0.000613613,0.709999979,0.013622947,87.40000002
25Rivermouth_FishNORRBOTTENSHavNollBf,0.000417996,0.479999989,0.010217408,46.38999998
25Rivermouth_FishOstergotlandsHavNollBf,0.00074587,0.479999989,0.014267481,28.16999985
25Rivermouth_FishSkaneNorrNollBf,0.007708813,0.939999998,0.057244683,214.12
25Rivermouth_FishSkaneSoder,0.001049954,0.709999979,0.018898826,66.87999981
25Rivermouth_FishSTOCKHOLMSHavNollBf,0.000255483,0.479999989,0.007691666,38.63000003
25Rivermouth_FishSODERMANLANDSHavNollBf,0.000657949,0.689999998,0.015780868,17.70999993
25Rivermouth_FishUppsalaHavNollBf,0.000579978,0.469999999,0.011067196,31.10999992
25Rivermouth_FishVasterbottensHavNollBf,0.001270022,0.709999979,0.019424045,160.8799998
25Rivermouth_FishVasterHavetNollBf,0,0,0,0
25Rivermouth_FishVasternorrlandsHavNollBf,0.001617065,0.769999981,0.024629895,131.1099997
25Rivermouth_FishVastragotlandHavNollBf,0.001295859,0.939999998,0.025526427,115.6799998
26Eel_MigrationBLEKINGEHavNollBf,0.144283587,0.439999998,0.133677395,9009.500005
26Eel_MigrationBottniskaVikenHavNollBf,0,0,0,0
26Eel_MigrationEgentligaOstersjonHavNollBf,0.000854642,0.370000005,0.009042959,626.2799979
26Eel_MigrationGavleborgsHavNollBf,0.01243734,0.039999999,0.011188111,1075.319976
26Eel_MigrationGOTLANDSHavNollBf,0,0,0,0
26Eel_MigrationHALLANDSHavNollBf,0.506226644,1,0.255985502,24627.41998
26Eel_MigrationKALMARHavNollBf,0.065624601,0.360000014,0.089086771,9347.240011
26Eel_MigrationNORRBOTTENSHavNollBf,0,0,0,0
26Eel_MigrationOstergotlandsHavNollBf,0.081696145,0.280000001,0.082874546,3085.499994
26Eel_MigrationSkaneNorrNollBf,0.533876727,0.970000029,0.263753284,14828.95998
26Eel_MigrationSkaneSoder,0.239732802,0.49000001,0.106144259,15270.50004
26Eel_MigrationSTOCKHOLMSHavNollBf,0.015016005,0.159999996,0.026754878,2270.479973
26Eel_MigrationSODERMANLANDSHavNollBf,0.039648178,0.189999998,0.04141284,1067.209997
26Eel_MigrationUppsalaHavNollBf,0.010975205,0.039999999,0.013399491,588.7099868
26Eel_MigrationVasterbottensHavNollBf,0,0,0,0
26Eel_MigrationVasterHavetNollBf,0.013362251,0.5,0.045212892,811.7299975
26Eel_MigrationVasternorrlandsHavNollBf,0.003223399,0.029999999,0.006994749,261.3499942
26Eel_MigrationVastragotlandHavNollBf,0.116096853,0.829999983,0.155811792,10363.85
27Seabird_Winter_CoastalBLEKINGEHavNollBf,0.03323479,1,0.117094803,2075.280003
27Seabird_Winter_CoastalBottniskaVikenHavNollBf,0,0,0,0
27Seabird_Winter_CoastalEgentligaOstersjonHavNollBf,0,0,0,0
27Seabird_Winter_CoastalGavleborgsHavNollBf,0.000416498,0.649999976,0.013770566,36.00999868
27Seabird_Winter_CoastalGOTLANDSHavNollBf,0.032671354,0.810000002,0.124362555,6347.749997
27Seabird_Winter_CoastalHALLANDSHavNollBf,0.041891303,0.730000019,0.105523718,2037.970008
27Seabird_Winter_CoastalKALMARHavNollBf,0.037138203,0.939999998,0.116093393,5289.779995
27Seabird_Winter_CoastalNORRBOTTENSHavNollBf,0,0,0,0
27Seabird_Winter_CoastalOstergotlandsHavNollBf,0.030749576,0.49000001,0.068459144,1161.349991
27Seabird_Winter_CoastalSkaneNorrNollBf,0.055961981,1,0.152678515,1554.399996
27Seabird_Winter_CoastalSkaneSoder,0.043799648,1,0.133360632,2789.949981
27Seabird_Winter_CoastalSTOCKHOLMSHavNollBf,0.021827531,0.689999998,0.058858021,3300.409996
27Seabird_Winter_CoastalSODERMANLANDSHavNollBf,3.68E-05,0.150000006,0.001737572,0.99000001
27Seabird_Winter_CoastalUppsalaHavNollBf,0,0,0,0
27Seabird_Winter_CoastalVasterbottensHavNollBf,0,0,0,0
27Seabird_Winter_CoastalVasterHavetNollBf,0,0,0,0
27Seabird_Winter_CoastalVasternorrlandsHavNollBf,0,0,0,0
27Seabird_Winter_CoastalVastragotlandHavNollBf,0.075926582,0.839999974,0.147174646,6777.890009
28Seabird_Winter_OffshoreBLEKINGEHavNollBf,0.068734686,0.370000005,0.081800247,4291.999983
28Seabird_Winter_OffshoreBottniskaVikenHavNollBf,0.004590553,0.430000007,0.030578489,1687.960002
28Seabird_Winter_OffshoreEgentligaOstersjonHavNollBf,0.086225713,1,0.170956251,63186.02988
28Seabird_Winter_OffshoreGavleborgsHavNollBf,0.007426873,0.209999993,0.019563068,642.1199929
28Seabird_Winter_OffshoreGOTLANDSHavNollBf,0.093729972,0.620000005,0.146908409,18210.88998
28Seabird_Winter_OffshoreHALLANDSHavNollBf,0.10780201,0.779999971,0.172681928,5244.459985
28Seabird_Winter_OffshoreKALMARHavNollBf,0.159016674,0.689999998,0.166999471,22649.53995
28Seabird_Winter_OffshoreNORRBOTTENSHavNollBf,0,0,0,0
28Seabird_Winter_OffshoreOstergotlandsHavNollBf,0.158873914,0.449999988,0.144665664,6000.350002
28Seabird_Winter_OffshoreSkaneNorrNollBf,0.187153298,0.680000007,0.134835674,5198.369994
28Seabird_Winter_OffshoreSkaneSoder,0.102471663,0.479999989,0.112638063,6527.239997
28Seabird_Winter_OffshoreSTOCKHOLMSHavNollBf,0.0685382,0.49000001,0.099308423,10363.25
28Seabird_Winter_OffshoreSODERMANLANDSHavNollBf,0.154639448,0.439999998,0.136113854,4162.430009
28Seabird_Winter_OffshoreUppsalaHavNollBf,0.040811708,0.25,0.05134211,2189.139996
28Seabird_Winter_OffshoreVasterbottensHavNollBf,0,0,0,0
28Seabird_Winter_OffshoreVasterHavetNollBf,0.015076875,0.330000013,0.043691034,915.8899965
28Seabird_Winter_OffshoreVasternorrlandsHavNollBf,0,0,0,0
28Seabird_Winter_OffshoreVastragotlandHavNollBf,3.88E-05,0.01,0.000621365,3.459999923
37Anoxia_BackgroundBLEKINGEHavNollBf,0.093315664,0.270000011,0.032849356,5826.910006
37Anoxia_BackgroundBottniskaVikenHavNollBf,0.016942478,0.330000013,0.046271117,6229.799976
37Anoxia_BackgroundEgentligaOstersjonHavNollBf,0.681623886,0.960000001,0.387382448,499492.6208
37Anoxia_BackgroundGavleborgsHavNollBf,0.055348662,0.25999999,0.058426114,4785.389993
37Anoxia_BackgroundGOTLANDSHavNollBf,0.535327731,1,0.389061351,104009.3602
37Anoxia_BackgroundHALLANDSHavNollBf,0.100792822,0.409999996,0.069050864,4903.469997
37Anoxia_BackgroundKALMARHavNollBf,0.296081581,1,0.307123686,42172.38004
37Anoxia_BackgroundNORRBOTTENSHavNollBf,0.013370276,0.140000001,0.020127718,1483.859976
37Anoxia_BackgroundOstergotlandsHavNollBf,0.333169615,1,0.238311678,12583.15001
37Anoxia_BackgroundSkaneNorrNollBf,0.15796155,0.379999995,0.063742332,4387.54
37Anoxia_BackgroundSkaneSoder,0.086555151,0.280000001,0.04371219,5513.390002
37Anoxia_BackgroundSTOCKHOLMSHavNollBf,0.314858007,1,0.279887198,47607.79005
37Anoxia_BackgroundSODERMANLANDSHavNollBf,0.452763309,1,0.205418796,12187.02999
37Anoxia_BackgroundUppsalaHavNollBf,0.019707494,0.230000004,0.022965557,1057.109986
37Anoxia_BackgroundVasterbottensHavNollBf,0.042900335,0.300000012,0.044446147,5434.39997
37Anoxia_BackgroundVasterHavetNollBf,0.032435965,0.300000012,0.055935341,1970.419991
37Anoxia_BackgroundVasternorrlandsHavNollBf,0.133966379,0.439999998,0.07783883,10861.86001
37Anoxia_BackgroundVastragotlandHavNollBf,0.073192037,0.910000026,0.096928101,6533.779989
