VasterhavSum,VasterhavArea,OsterhavSum,OsterhavArea,BottniskaSum,BottniskaArea,SymphID
0.0,1532.8125,78768.73981608078,15044.625,369.9899995774031,2770.875,01
134.11999967694285,1532.8125,2811.090003438294,15044.625,0.0,2770.875,02
0.0,1532.8125,40477.989922625944,15044.625,12405.419992277399,2770.875,03
20088.010007306933,1532.8125,8105.229979831725,15044.625,0.0,2770.875,04
970.0,1532.8125,4244.0,15044.625,934.0,2770.875,05
574.0099990926683,1532.8125,3005.0499996580184,15044.625,1792.8400002494454,2770.875,20
117.38999991863966,1532.8125,60.03000002540648,15044.625,53.97999998368323,2770.875,25
6563.820014724508,1532.8125,7632.259990492836,15044.625,133.56999701447785,2770.875,26
3313.200001342222,1532.8125,3379.549989167601,15044.625,0.0,2770.875,27
119.92999974638224,1532.8125,65862.64992130548,15044.625,2157.8600088767707,2770.875,28
